age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,non_zero_capital_gain,non_zero_capital_loss
31-50,Private,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,0-10,United-States,>50K,,2415
51-70,Self-emp-inc,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,31-50,United-States,>50K,,2415
31-50,Private,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,31-50,Other,>50K,,2415
31-50,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,70+,United-States,>50K,,2415
31-50,Self-emp-inc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Private,15,Married-civ-spouse,Sales,Husband,White,Male,0,2415,0-10,United-States,>50K,,2415
51-70,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
51-70,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,11-30,United-States,>50K,,2415
31-50,Self-emp-inc,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,51-70,United-States,>50K,,2415
31-50,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,70+,United-States,>50K,,2415
51-70,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
31-50,Private,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,11-30,United-States,>50K,,2415
31-50,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,51-70,United-States,>50K,,2415
31-50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,31-50,United-States,>50K,,2415
51-70,Private,13,Widowed,Exec-managerial,Not-in-family,White,Male,0,2392,31-50,United-States,>50K,,2392
51-70,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,70+,United-States,>50K,,2392
70+,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,11-30,United-States,>50K,,2392
70+,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2392,0-10,United-States,>50K,,2392
31-50,Self-emp-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,31-50,United-States,>50K,,2392
70+,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,31-50,United-States,>50K,,2392
70+,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,51-70,United-States,>50K,,2392
70+,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,51-70,United-States,>50K,,2392
51-70,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,31-50,United-States,>50K,,2392
17-30,Private,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,31-50,United-States,<=50K,,2377
51-70,State-gov,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,51-70,United-States,>50K,,2377
31-50,Self-emp-inc,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2377,31-50,United-States,>50K,,2377
31-50,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,51-70,United-States,<=50K,,2377
51-70,Self-emp-not-inc,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,11-30,United-States,>50K,,2377
17-30,Private,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,2377,11-30,United-States,<=50K,,2377
31-50,Local-gov,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,31-50,United-States,<=50K,,2377
17-30,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,2377,31-50,United-States,<=50K,,2377
70+,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,11-30,United-States,>50K,,2377
51-70,Self-emp-not-inc,16,Married-civ-spouse,Sales,Husband,White,Male,0,2377,11-30,United-States,>50K,,2377
70+,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,31-50,United-States,>50K,,2377
51-70,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,2377,51-70,United-States,>50K,,2377
51-70,State-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,31-50,United-States,>50K,,2377
51-70,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,31-50,United-States,>50K,,2377
51-70,Private,9,Married-civ-spouse,Sales,Husband,Black,Male,0,2377,31-50,United-States,<=50K,,2377
31-50,Self-emp-inc,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,31-50,United-States,<=50K,,2377
51-70,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,31-50,United-States,>50K,,2377
17-30,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,31-50,United-States,<=50K,,2377
31-50,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2377,31-50,United-States,<=50K,,2377
51-70,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2377,31-50,United-States,>50K,,2377
51-70,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,31-50,United-States,<=50K,,2352
51-70,Self-emp-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,51-70,United-States,<=50K,,2352
31-50,Private,3,Divorced,Craft-repair,Not-in-family,White,Female,0,2339,31-50,United-States,<=50K,,2339
17-30,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,51-70,United-States,<=50K,,2339
51-70,Local-gov,9,Widowed,Farming-fishing,Unmarried,White,Male,0,2339,31-50,United-States,<=50K,,2339
51-70,Private,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2339,31-50,United-States,<=50K,,2339
51-70,State-gov,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,2339,31-50,United-States,<=50K,,2339
31-50,Self-emp-inc,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,2339,31-50,United-States,<=50K,,2339
31-50,Private,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,2339,31-50,United-States,<=50K,,2339
17-30,Private,13,Never-married,Prof-specialty,Own-child,White,Female,0,2339,31-50,United-States,<=50K,,2339
51-70,Private,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,2339,31-50,United-States,<=50K,,2339
51-70,Local-gov,9,Separated,Protective-serv,Other-relative,Black,Female,0,2339,31-50,United-States,<=50K,,2339
17-30,State-gov,10,Separated,Exec-managerial,Own-child,White,Male,0,2339,31-50,United-States,<=50K,,2339
31-50,Private,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,2339,31-50,United-States,<=50K,,2339
51-70,Self-emp-not-inc,14,Divorced,Sales,Unmarried,White,Female,0,2339,51-70,United-States,<=50K,,2339
31-50,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2339,31-50,United-States,<=50K,,2339
31-50,Private,9,Never-married,Adm-clerical,Other-relative,Black,Female,0,2339,31-50,Other,<=50K,,2339
17-30,Private,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2339,31-50,Other,<=50K,,2339
31-50,Self-emp-not-inc,15,Divorced,Other-service,Not-in-family,White,Female,0,2339,31-50,United-States,<=50K,,2339
51-70,Private,13,Widowed,Prof-specialty,Not-in-family,White,Male,0,2282,31-50,United-States,>50K,,2282
51-70,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2267,31-50,United-States,<=50K,,2267
51-70,Private,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2267,31-50,United-States,<=50K,,2267
51-70,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,2267,31-50,United-States,<=50K,,2267
51-70,Federal-gov,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,31-50,United-States,<=50K,,2258
17-30,Self-emp-not-inc,10,Never-married,Farming-fishing,Own-child,White,Male,0,2258,0-10,United-States,<=50K,,2258
31-50,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,70+,United-States,<=50K,,2258
31-50,Self-emp-not-inc,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,2258,31-50,Other,<=50K,,2258
31-50,Private,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,2258,31-50,Other,<=50K,,2258
31-50,Private,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,2258,51-70,United-States,>50K,,2258
31-50,State-gov,12,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,31-50,United-States,>50K,,2258
17-30,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,31-50,United-States,>50K,,2258
51-70,Federal-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,2258,31-50,United-States,<=50K,,2258
31-50,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,2258,31-50,United-States,>50K,,2258
31-50,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2258,31-50,United-States,>50K,,2258
17-30,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,31-50,United-States,>50K,,2258
17-30,Self-emp-not-inc,9,Never-married,Craft-repair,Not-in-family,White,Male,0,2258,31-50,United-States,<=50K,,2258
17-30,Private,13,Never-married,Prof-specialty,Own-child,White,Female,0,2258,31-50,United-States,>50K,,2258
31-50,Private,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,2258,31-50,United-States,<=50K,,2258
31-50,Private,8,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,31-50,United-States,<=50K,,2258
31-50,Local-gov,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2258,51-70,United-States,<=50K,,2258
51-70,Private,10,Widowed,Adm-clerical,Unmarried,White,Female,0,2258,31-50,United-States,>50K,,2258
31-50,Private,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,2258,51-70,United-States,<=50K,,2258
31-50,Federal-gov,13,Divorced,Tech-support,Not-in-family,White,Male,0,2258,31-50,United-States,>50K,,2258
31-50,State-gov,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,31-50,United-States,>50K,,2258
31-50,Self-emp-inc,10,Never-married,Sales,Not-in-family,White,Male,0,2258,51-70,United-States,<=50K,,2258
51-70,Private,10,Widowed,Farming-fishing,Not-in-family,White,Male,0,2258,51-70,United-States,>50K,,2258
31-50,Private,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,2258,31-50,United-States,>50K,,2258
31-50,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,2258,31-50,United-States,>50K,,2258
31-50,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,31-50,United-States,>50K,,2246
51-70,Local-gov,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,2246,31-50,United-States,>50K,,2246
51-70,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,31-50,United-States,>50K,,2246
51-70,Self-emp-not-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2246,0-10,United-States,>50K,,2246
70+,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,31-50,United-States,>50K,,2246
70+,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2246,11-30,United-States,>50K,,2246
31-50,Private,9,Separated,Machine-op-inspct,Unmarried,White,Female,0,2238,31-50,United-States,<=50K,,2238
17-30,Private,6,Widowed,Adm-clerical,Unmarried,White,Female,0,2238,31-50,United-States,<=50K,,2238
17-30,Self-emp-not-inc,13,Never-married,Adm-clerical,Own-child,White,Male,0,2231,31-50,United-States,>50K,,2231
31-50,Local-gov,5,Widowed,Handlers-cleaners,Unmarried,White,Male,0,2231,31-50,United-States,>50K,,2231
17-30,Local-gov,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2231,31-50,United-States,>50K,,2231
70+,Private,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,31-50,United-States,<=50K,,2206
51-70,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,2206,11-30,United-States,<=50K,,2206
51-70,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,51-70,Other,<=50K,,2206
51-70,Private,9,Widowed,Prof-specialty,Unmarried,White,Female,0,2206,0-10,United-States,<=50K,,2206
51-70,Private,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,2206,0-10,United-States,<=50K,,2206
51-70,Local-gov,13,Widowed,Prof-specialty,Not-in-family,Black,Female,0,2206,11-30,United-States,<=50K,,2206
17-30,Private,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,2205,11-30,United-States,<=50K,,2205
31-50,Self-emp-not-inc,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,2205,31-50,United-States,<=50K,,2205
31-50,Private,10,Never-married,Adm-clerical,Own-child,White,Female,0,2205,31-50,United-States,<=50K,,2205
17-30,Private,12,Never-married,Other-service,Own-child,White,Female,0,2205,11-30,United-States,<=50K,,2205
31-50,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,2205,31-50,United-States,<=50K,,2205
31-50,Private,10,Never-married,Other-service,Own-child,Black,Female,0,2205,31-50,United-States,<=50K,,2205
31-50,Private,10,Never-married,Machine-op-inspct,Other-relative,White,Female,0,2205,31-50,Other,<=50K,,2205
31-50,Private,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2205,31-50,United-States,<=50K,,2205
51-70,Private,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,2205,31-50,United-States,<=50K,,2205
31-50,Self-emp-inc,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,2201,51-70,Other,>50K,,2201
51-70,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,31-50,United-States,<=50K,,2179
17-30,Private,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,2179,31-50,Other,<=50K,,2179
31-50,Self-emp-inc,11,Married-civ-spouse,Sales,Husband,Other,Male,0,2179,70+,Other,<=50K,,2179
31-50,Self-emp-not-inc,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,31-50,United-States,<=50K,,2179
51-70,Self-emp-not-inc,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,11-30,United-States,<=50K,,2179
51-70,State-gov,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2179,31-50,United-States,<=50K,,2179
31-50,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,2179,11-30,United-States,<=50K,,2179
31-50,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,31-50,United-States,<=50K,,2179
17-30,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2179,31-50,United-States,<=50K,,2179
31-50,Private,6,Married-civ-spouse,Sales,Husband,White,Male,0,2179,51-70,United-States,<=50K,,2179
31-50,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2179,31-50,United-States,<=50K,,2179
31-50,Self-emp-not-inc,3,Married-civ-spouse,Sales,Husband,White,Male,0,2179,31-50,Other,<=50K,,2179
51-70,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2179,31-50,United-States,<=50K,,2179
31-50,Self-emp-not-inc,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2179,31-50,United-States,<=50K,,2179
31-50,Private,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,2179,31-50,United-States,<=50K,,2179
51-70,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,31-50,United-States,>50K,,2174
51-70,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2174,0-10,United-States,>50K,,2174
51-70,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2174,31-50,United-States,>50K,,2174
70+,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,31-50,United-States,>50K,,2174
51-70,State-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2174,31-50,United-States,>50K,,2174
51-70,Federal-gov,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,2174,31-50,United-States,>50K,,2174
70+,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2174,31-50,United-States,>50K,,2174
51-70,Private,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2163,11-30,Other,<=50K,,2163
